type sample_L2
pb 15000.0
clip_bound 20.0
log_path log/Alexnet/sample_L2/True/0
train_data data
test_data data
batch_size 64
test_batch_size 64
lr 0.0002
momentum 0.5
no_cuda False
seed 1
log_interval 1
privacy_delta 1e-06
sample_num 500
islog True
is_ratio_list True
num_clients 2
num_rounds 10
epochs 1
ratio_type 0
按照权重分配eps
权重越大,eps越大,噪声越小
device cuda
loading data
load data done
AlexNet(
  (conv1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(6, 6), stride=(1, 1))
    (1): ReLU()
  )
  (conv2): Sequential(
    (0): Conv2d(96, 256, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(256, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv4): Sequential(
    (0): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv5): Sequential(
    (0): Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (dense): Sequential(
    (0): Linear(in_features=9216, out_features=4096, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=10, bias=True)
  )
)
********start training********
start_round_time 2021-07-04 15:15:51
******client id  0 ******
client_update start
layer= 2 ratio= 0.047041556192234366
layer= 3 ratio= 0.0494629782094014
layer= 4 ratio= 0.04764715891404951
layer= 5 ratio= 0.05763599790933685
layer= 6 ratio= 0.039928615915983144
layer= 7 ratio= 0.050703878212531486
layer= 8 ratio= 0.039596731231751656
layer= 9 ratio= 0.050625791358516206
layer= 10 ratio= 0.02452761796021777
layer= 11 ratio= 0.0268118821997336
layer= 12 ratio= 0.035287530456577905
layer= 13 ratio= 0.038988416298123836
layer= 14 ratio= 0.0370514345576276
layer= 15 ratio= 0.03273300617760873
layer= 0 ratio= 0.21139549970229624
layer= 1 ratio= 0.21179485424889696
layer= 2 ratio= 0.04715625118701185
layer= 3 ratio= 0.048813851703592516
layer= 4 ratio= 0.047842618214811804
layer= 5 ratio= 0.05895055134574494
layer= 6 ratio= 0.03988949267530616
layer= 7 ratio= 0.05044646172129021
layer= 8 ratio= 0.039588993661544336
layer= 9 ratio= 0.047190984848806704
layer= 10 ratio= 0.024710431463689828
layer= 11 ratio= 0.026936230210665938
layer= 12 ratio= 0.03549277583792304
layer= 13 ratio= 0.03930352100203285
layer= 14 ratio= 0.03739077390564825
layer= 15 ratio= 0.03309670827073836
end add noise time 2021-07-04 15:18:16
average train loss= 1.717308410903072
2021-07-04 15:18:25,round 1,val Accuracy Top1: 15.380000 %
2021-07-04 15:18:25,round 1,val Accuracy Top5: 70.170000 %
start_round_time 2021-07-04 15:18:25
******client id  0 ******
client_update start
2021-07-04 15:18:27  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 10 ,loss= 1.674781322479248
2021-07-04 15:18:29  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 20 ,loss= 1.6178696155548096
2021-07-04 15:18:30  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 30 ,loss= 1.786568522453308
2021-07-04 15:18:32  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 40 ,loss= 1.5274893045425415
2021-07-04 15:18:34  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 50 ,loss= 1.8590574264526367
2021-07-04 15:18:36  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 60 ,loss= 1.4485915899276733
2021-07-04 15:18:38  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 70 ,loss= 1.403616189956665
2021-07-04 15:18:40  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 80 ,loss= 1.4460170269012451
2021-07-04 15:18:42  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 90 ,loss= 1.276508092880249
2021-07-04 15:18:43  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 100 ,loss= 1.4135782718658447
2021-07-04 15:18:45  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 110 ,loss= 1.3675010204315186
2021-07-04 15:18:47  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 120 ,loss= 1.2685269117355347
2021-07-04 15:18:49  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 130 ,loss= 1.3861671686172485
2021-07-04 15:18:51  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 140 ,loss= 1.577234148979187
2021-07-04 15:18:53  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 150 ,loss= 1.559345006942749
2021-07-04 15:18:55  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 160 ,loss= 1.1543456315994263
2021-07-04 15:18:56  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 170 ,loss= 1.2006440162658691
2021-07-04 15:18:58  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 180 ,loss= 1.3599357604980469
2021-07-04 15:19:00  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 190 ,loss= 1.1865606307983398
2021-07-04 15:19:02  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 200 ,loss= 1.497016429901123
2021-07-04 15:19:04  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 210 ,loss= 1.4179610013961792
2021-07-04 15:19:06  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 220 ,loss= 1.3860337734222412
2021-07-04 15:19:08  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 230 ,loss= 1.1064645051956177
2021-07-04 15:19:09  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 240 ,loss= 1.1163676977157593
2021-07-04 15:19:11  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 250 ,loss= 1.2202500104904175
2021-07-04 15:19:13  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 260 ,loss= 1.2891051769256592
2021-07-04 15:19:15  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 270 ,loss= 1.178291916847229
2021-07-04 15:19:17  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 280 ,loss= 1.1664485931396484
2021-07-04 15:19:19  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 290 ,loss= 1.0549037456512451
2021-07-04 15:19:21  client id= 0 ,round= 2 ,epoch= 1 ,client update iteration= 300 ,loss= 1.3235163688659668
